	N	JACOBI_frames	JACOBI_t-comput	GAUSS-SIEDEL_frames	GAUSS-SIEDEL_t-comput	SOR_frames	SOR_t-comput
0	20	1372	0.049019	713	0.004	149	0.000999
1	30	3208	0.123995	1664	0.013001	197	0.002
2	40	5810	0.232003	3013	0.032	247	0.003
3	50	9180	0.407602	4760	0.073008	296	0.004999
4	60	13316	0.633024	6904	0.131004	345	0.008
5	70	18218	0.932543	9445	0.239007	395	0.012
6	80	23888	1.296061	12384	0.400012	444	0.017
7	90	30324	1.786577	15720	0.627018	493	0.023001
8	100	37526	2.390063	19453	0.948028	542	0.031001
9	110	45496	3.145127	23584	1.382116	591	0.040997
10	120	54232	4.05064	28112	1.956059	640	0.052002
11	130	63735	5.271165	33037	2.71508	689	0.067003
12	140	74004	6.599216	38360	3.675112	738	0.084001
13	150	85040	8.500274	44081	4.795144	787	0.101004
14	160	96843	11.045855	50198	6.259188	836	0.123006
15	170	109412	13.463634	56713	8.083238	885	0.149004
16	180	122748	16.773517	63626	10.357368	934	0.178955
17	190	136851	20.512634	70936	13.08539	983	0.213006
18	200	151720	27.15083	78643	16.060483	1032	0.247008
